Date,Close
43832.66667,1367.37
43833.66667,1360.66
43836.66667,1394.21
43837.66667,1393.34
43838.66667,1404.32
43839.66667,1419.83
43840.66667,1429.73
43843.66667,1439.23
43844.66667,1430.88
43845.66667,1439.2
43846.66667,1451.7
43847.66667,1480.39
43851.66667,1484.4
43852.66667,1485.95
43853.66667,1486.65
43854.66667,1466.71
43857.66667,1433.9
43858.66667,1452.56
43859.66667,1458.63
43860.66667,1455.84
43861.66667,1434.23
43864.66667,1485.94
43865.66667,1447.07
43866.66667,1448.23
43867.66667,1476.23
43868.66667,1479.23
43871.66667,1508.68
43872.66667,1508.79
43873.66667,1518.27
43874.66667,1514.66
43875.66667,1520.74
43879.66667,1519.67
43880.66667,1526.69
43881.66667,1518.15
43882.66667,1485.11
43885.66667,1421.59
43886.66667,1388.45
43887.66667,1393.18
43888.66667,1318.09
43889.66667,1339.33
43892.66667,1389.11
43893.66667,1341.39
43894.66667,1386.52
43895.66667,1319.04
43896.66667,1298.41
43899.66667,1215.56
43900.66667,1280.39
43901.66667,1215.41
43902.66667,1114.91
43903.66667,1219.73
43906.66667,1084.33
43907.66667,1119.8
43908.66667,1096.8
43909.66667,1115.29
43910.66667,1072.32
43913.66667,1056.62
43914.66667,1134.46
43915.66667,1102.49
43916.66667,1161.75
43917.66667,1110.71
43920.66667,1146.82
43921.66667,1162.81
43922.66667,1105.62
43923.66667,1120.84
43924.66667,1097.88
43927.66667,1186.92
43928.66667,1186.51
43929.66667,1210.28
43930.66667,1211.45
43934.66667,1217.56
43935.66667,1269.23
43936.66667,1262.47
43937.66667,1263.47
43938.66667,1283.25
43941.66667,1266.61
43942.66667,1216.34
43943.66667,1263.21
43944.66667,1276.31
43945.66667,1279.31
43948.66667,1275.88
43949.66667,1233.67
43950.66667,1341.48
43951.66667,1348.66
43952.66667,1320.61
43955.66667,1326.8
43956.66667,1351.11
43957.66667,1347.3
43958.66667,1372.56
43959.66667,1388.37
43962.66667,1403.26
43963.66667,1375.74
43964.66667,1349.33
43965.66667,1356.13
43966.66667,1373.19
43969.66667,1383.94
43970.66667,1373.49
43971.66667,1406.72
43972.66667,1402.8
43973.66667,1410.42
43977.66667,1417.02
43978.66667,1417.84
43979.66667,1416.73
43980.66667,1428.92
43983.66667,1431.82
43984.66667,1439.22
43985.66667,1436.38
43986.66667,1412.18
43987.66667,1438.39
43990.66667,1446.61
43991.66667,1456.16
43992.66667,1465.85
43993.66667,1403.84
43994.66667,1413.18
43997.66667,1419.85
43998.66667,1442.72
43999.66667,1451.12
44000.66667,1435.96
44001.66667,1431.72
44004.66667,1451.86
44005.66667,1464.41
44006.66667,1431.97
44007.66667,1441.33
44008.66667,1359.9
44011.66667,1394.97
44012.66667,1413.61
44013.66667,1438.04
44014.66667,1464.7
44018.66667,1495.7
44019.66667,1485.18
44020.66667,1496
44021.66667,1510.99
44022.66667,1541.74
44025.66667,1511.34
44026.66667,1520.58
44027.66667,1513.64
44028.66667,1518
44029.66667,1515.55
44032.66667,1565.72
44033.66667,1558.42
44034.66667,1568.49
44035.66667,1515.68
44036.66667,1511.87
44039.66667,1530.2
44040.66667,1500.34
44041.66667,1522.02
44042.66667,1531.45
44043.66667,1482.96
44046.66667,1474.45
44047.66667,1464.97
44048.66667,1473.61
44049.66667,1500.1
44050.66667,1494.49
44053.66667,1496.1
44054.66667,1480.32
44055.66667,1506.62
44056.66667,1518.45
44057.66667,1507.73
44060.66667,1517.98
44061.66667,1558.6
44062.66667,1547.53
44063.66667,1581.75
44064.66667,1580.42
44067.66667,1588.2
44068.66667,1608.22
44069.66667,1652.38
44070.66667,1634.33
44071.66667,1644.41
44074.66667,1634.18
44075.66667,1660.71
44076.66667,1728.28
44077.66667,1641.84
44078.66667,1591.04
44082.66667,1532.39
44083.66667,1556.96
44084.66667,1532.02
44085.66667,1520.72
44088.66667,1519.28
44089.66667,1541.44
44090.66667,1520.9
44091.66667,1495.53
44092.66667,1459.99
44095.66667,1431.16
44096.66667,1465.46
44097.66667,1415.21
44098.66667,1428.29
44099.66667,1444.96
44102.66667,1464.52
44103.66667,1469.33
44104.66667,1469.6
44105.66667,1490.09
44106.66667,1458.42
44109.66667,1486.02
44110.66667,1453.44
44111.66667,1460.29
44112.66667,1485.93
44113.66667,1515.22
44116.66667,1569.15
44117.66667,1571.68
44118.66667,1568.08
44119.66667,1559.13
44120.66667,1573.01
44123.66667,1534.61
44124.66667,1555.93
44125.66667,1593.31
44126.66667,1615.33
44127.66667,1641
44130.66667,1590.45
44131.66667,1604.26
44132.66667,1516.62
44133.66667,1567.24
44134.66667,1621.01
44137.66667,1626.03
44138.66667,1650.21
44139.66667,1749.13
44140.66667,1763.37
44141.66667,1761.75
44144.66667,1763
44145.66667,1740.39
44146.66667,1752.71
44147.66667,1749.84
44148.66667,1777.02
44151.66667,1781.38
44152.66667,1770.15
44153.66667,1746.78
44154.66667,1763.92
44155.66667,1742.19
44158.66667,1734.86
44159.66667,1768.88
44160.66667,1771.43
44162.54167,1793.19
44165.66667,1760.74
44166.66667,1798.1
44167.66667,1827.95
44168.66667,1826.77
44169.66667,1827.99
44172.66667,1819.48
44173.66667,1818.55
44174.66667,1784.13
44175.66667,1775.33
44176.66667,1781.77
44179.66667,1760.06
44180.66667,1767.77
44181.66667,1763
44182.66667,1747.9
44183.66667,1731.01
44186.66667,1739.37
44187.66667,1723.5
44188.66667,1732.38
44189.54167,1738.85
44193.66667,1776.09
44194.66667,1758.72
44195.66667,1739.52
